No,Machine,Point,Temp,Createtime
3273136,2,C,54.3,2023-09-25 09:54:07
3273135,2,C,55.8,2023-09-25 09:54:06
3273134,2,C,55.1,2023-09-25 09:54:05
3273133,2,C,53.7,2023-09-25 09:54:04
3273132,2,C,54.9,2023-09-25 09:54:03
3273131,2,C,56,2023-09-25 09:54:02
3273130,2,C,53.2,2023-09-25 09:54:01
3273129,2,C,54.5,2023-09-25 09:54:00
3273128,2,C,55.4,2023-09-25 09:53:59
3273127,2,C,54.4,2023-09-25 09:53:58
3273126,2,C,52.3,2023-09-25 09:53:57
3273125,2,C,53.7,2023-09-25 09:53:56
3273124,2,C,54.3,2023-09-25 09:53:55
3273123,2,C,54.6,2023-09-25 09:53:54
3273122,2,C,56.4,2023-09-25 09:53:53
3273121,2,C,56.7,2023-09-25 09:53:52
3273120,2,C,54.5,2023-09-25 09:53:51
3273119,2,C,55.5,2023-09-25 09:53:50
3273118,2,C,54.1,2023-09-25 09:53:48
3273117,2,C,55.9,2023-09-25 09:53:47
3273116,2,C,53.7,2023-09-25 09:53:46
3273115,2,C,54.5,2023-09-25 09:53:45
3273114,2,C,55.5,2023-09-25 09:53:44
3273113,2,C,54.6,2023-09-25 09:53:43
3273112,2,C,56.1,2023-09-25 09:53:42
3273111,2,C,54.2,2023-09-25 09:53:41
3273110,2,C,54.1,2023-09-25 09:53:40
3273109,2,C,54.5,2023-09-25 09:53:39
3273108,2,C,54.8,2023-09-25 09:53:38
3273107,2,C,56,2023-09-25 09:53:37
3273106,2,C,54.3,2023-09-25 09:53:36
3273105,2,C,53.2,2023-09-25 09:53:35
3273104,2,C,53.2,2023-09-25 09:53:34
3273103,2,C,54.9,2023-09-25 09:53:33
3273102,2,C,54.6,2023-09-25 09:53:32
3273101,2,C,54.4,2023-09-25 09:53:31
3273100,2,C,55.6,2023-09-25 09:53:30
3273099,2,C,53.5,2023-09-25 09:53:29
3273098,2,C,54.5,2023-09-25 09:53:28
3273097,2,C,56.3,2023-09-25 09:53:26
3273096,2,C,53.9,2023-09-25 09:53:25
3273095,2,C,52.5,2023-09-25 09:53:24
3273094,2,C,53.8,2023-09-25 09:53:23
3273093,2,C,54.2,2023-09-25 09:53:22
3273092,2,C,55,2023-09-25 09:53:21
3273091,2,C,54.7,2023-09-25 09:53:20
3273090,2,C,53.9,2023-09-25 09:53:19
3273089,2,C,54.9,2023-09-25 09:53:18
3273088,2,C,54.6,2023-09-25 09:53:17
3273087,2,C,54.9,2023-09-25 09:53:16
3273086,2,C,54,2023-09-25 09:53:15
3273085,2,C,54.3,2023-09-25 09:53:14
3273084,2,C,55,2023-09-25 09:53:13
3273083,2,C,56.5,2023-09-25 09:53:12
3273082,2,C,54.2,2023-09-25 09:53:11
3273081,2,C,55.2,2023-09-25 09:53:10
3273080,2,C,55.5,2023-09-25 09:53:08
3273079,2,C,55.3,2023-09-25 09:53:07
3273078,2,C,54.2,2023-09-25 09:53:06
3273077,2,C,53.5,2023-09-25 09:53:05
3273076,2,C,54.2,2023-09-25 09:53:04
3273075,2,C,54,2023-09-25 09:53:03
3273074,2,C,54.9,2023-09-25 09:53:02
3273073,2,C,56.2,2023-09-25 09:53:01
3273072,2,C,56.2,2023-09-25 09:53:00
3273071,2,C,54.6,2023-09-25 09:52:59
3273070,2,C,54.5,2023-09-25 09:52:58
3273069,2,C,53,2023-09-25 09:52:57
3273068,2,C,53.8,2023-09-25 09:52:56
3273067,2,C,54.9,2023-09-25 09:52:55
3273066,2,C,55.6,2023-09-25 09:52:54
3273065,2,C,55.3,2023-09-25 09:52:53
3273064,2,C,55.3,2023-09-25 09:52:52
3273063,2,C,53.4,2023-09-25 09:52:51
3273062,2,C,54.5,2023-09-25 09:52:49
3273061,2,C,56.1,2023-09-25 09:52:48
3273060,2,C,54.6,2023-09-25 09:52:47
3273059,2,C,55.7,2023-09-25 09:52:46
3273058,2,C,53.8,2023-09-25 09:52:45
3273057,2,C,53.7,2023-09-25 09:52:44
3273056,2,C,55,2023-09-25 09:52:43
3273055,2,C,54.7,2023-09-25 09:52:42
3273054,2,C,56.6,2023-09-25 09:52:41
3273053,2,C,55.2,2023-09-25 09:52:40
3273052,2,C,54.6,2023-09-25 09:52:39
3273051,2,C,55.6,2023-09-25 09:52:38
3273050,2,C,55.2,2023-09-25 09:52:37
3273049,2,C,54.3,2023-09-25 09:52:36
3273048,2,C,56.4,2023-09-25 09:52:35
3273047,2,C,57,2023-09-25 09:52:34
3273046,2,C,54.4,2023-09-25 09:52:33
3273045,2,C,54.1,2023-09-25 09:52:32
3273044,2,C,55.9,2023-09-25 09:52:31
3273043,2,C,56.7,2023-09-25 09:52:30
3273042,2,C,53.2,2023-09-25 09:52:29
3273041,2,C,54.1,2023-09-25 09:52:28
3273040,2,C,55.1,2023-09-25 09:52:27
3273039,2,C,55.1,2023-09-25 09:52:26
3273038,2,C,55,2023-09-25 09:52:24
3273037,2,C,56.2,2023-09-25 09:52:23
3273036,2,C,56.5,2023-09-25 09:52:22
3273035,2,C,55.5,2023-09-25 09:52:21
3273034,2,C,55.8,2023-09-25 09:52:20
3273033,2,C,54.7,2023-09-25 09:52:19
3273032,2,C,53.8,2023-09-25 09:52:18
3273031,2,C,54.7,2023-09-25 09:52:17
3273030,2,C,57.3,2023-09-25 09:52:16
3273029,2,C,54.5,2023-09-25 09:52:15
3273028,2,C,54.8,2023-09-25 09:52:14
3273027,2,C,55.7,2023-09-25 09:52:13
3273026,2,C,56.4,2023-09-25 09:52:12
3273025,2,C,55.3,2023-09-25 09:52:11
3273024,2,C,55.7,2023-09-25 09:52:10
3273023,2,C,55.6,2023-09-25 09:52:09
3273022,2,C,56.2,2023-09-25 09:52:08
3273021,2,C,56.1,2023-09-25 09:52:07
3273020,2,C,55,2023-09-25 09:52:06
3273019,2,C,55.2,2023-09-25 09:52:05
3273018,2,C,56.6,2023-09-25 09:52:03
3273017,2,C,56.1,2023-09-25 09:52:02
3273016,2,C,55.4,2023-09-25 09:52:01
3273015,2,C,56.3,2023-09-25 09:52:00
3273014,2,C,57.1,2023-09-25 09:51:59
