iter	Passed	Remaining
662	1766	898
663	1769	895
664	1771	892
665	1773	889
666	1776	886
667	1778	883
668	1781	881
669	1783	878
670	1786	876
671	1789	873
672	1791	870
673	1794	868
674	1797	865
675	1800	862
676	1803	860
677	1805	857
678	1808	854
679	1810	852
680	1813	849
681	1815	846
682	1817	843
683	1820	841
684	1822	838
685	1825	835
686	1827	832
687	1829	829
688	1832	826
689	1834	824
690	1836	821
691	1839	818
692	1841	815
693	1844	813
694	1846	810
695	1849	807
696	1851	804
697	1853	801
698	1855	799
699	1858	796
700	1860	793
701	1863	790
702	1865	788
703	1867	785
704	1870	782
705	1872	779
706	1874	777
707	1877	774
708	1879	771
709	1882	768
710	1884	766
711	1887	763
712	1889	760
713	1892	757
714	1894	755
715	1897	752
716	1899	749
717	1901	746
718	1904	744
719	1906	741
720	1909	738
721	1911	735
722	1913	733
723	1916	730
724	1918	727
725	1920	724
726	1923	722
727	1925	719
728	1927	716
729	1930	713
730	1932	711
731	1935	708
732	1937	705
733	1939	702
734	1942	700
735	1944	697
736	1947	694
737	1949	692
738	1951	689
739	1954	686
740	1956	683
741	1959	681
742	1961	678
743	1964	675
744	1967	673
745	1969	670
746	1972	668
747	1975	665
748	1977	662
749	1980	660
750	1983	657
751	1986	655
752	1988	652
753	1991	649
754	1993	646
755	1995	644
756	1998	641
757	2000	638
758	2003	636
759	2005	633
760	2007	630
761	2010	627
762	2012	625
763	2014	622
764	2017	619
765	2019	616
766	2022	614
767	2024	611
768	2027	608
769	2029	606
770	2031	603
771	2034	600
772	2036	598
773	2039	595
774	2041	592
775	2044	590
776	2046	587
777	2048	584
778	2051	581
779	2053	579
780	2055	576
781	2058	573
782	2060	571
783	2062	568
784	2065	565
785	2067	562
786	2069	560
787	2072	557
788	2074	554
789	2076	552
790	2079	549
791	2081	546
792	2083	543
793	2086	541
794	2088	538
795	2091	535
796	2093	533
797	2095	530
798	2098	527
799	2100	525
800	2102	522
801	2105	519
802	2107	516
803	2109	514
804	2111	511
805	2114	508
806	2116	506
807	2119	503
808	2121	500
809	2124	498
810	2127	495
811	2129	493
812	2131	490
813	2134	487
814	2136	484
815	2139	482
816	2141	479
817	2144	477
818	2147	474
819	2149	471
820	2152	469
821	2155	466
822	2157	464
823	2160	461
824	2162	458
825	2165	456
826	2167	453
827	2170	450
828	2172	448
829	2175	445
830	2177	442
831	2179	440
832	2182	437
833	2184	434
834	2186	432
835	2189	429
836	2191	426
837	2194	424
838	2196	421
839	2198	418
840	2201	416
841	2203	413
842	2206	410
843	2208	408
844	2211	405
845	2214	403
846	2216	400
847	2218	397
848	2228	396
849	2231	393
850	2233	391
851	2235	388
852	2237	385
853	2239	382
854	2241	380
855	2244	377
856	2246	374
857	2248	372
858	2250	369
859	2253	366
860	2255	364
861	2257	361
862	2260	358
863	2262	356
864	2264	353
865	2266	350
866	2269	348
867	2271	345
868	2273	342
869	2276	340
870	2278	337
871	2280	334
872	2282	332
873	2285	329
874	2287	326
875	2290	324
876	2292	321
877	2295	318
878	2297	316
879	2299	313
880	2302	310
881	2304	308
882	2307	305
883	2309	303
884	2312	300
885	2314	297
886	2316	295
887	2319	292
888	2321	289
889	2324	287
890	2327	284
891	2330	282
892	2332	279
893	2335	276
894	2337	274
895	2340	271
896	2343	269
897	2345	266
898	2348	263
899	2350	261
900	2353	258
901	2355	255
902	2357	253
903	2360	250
904	2363	248
905	2365	245
906	2367	242
907	2370	240
908	2372	237
909	2375	234
910	2377	232
911	2380	229
912	2382	227
913	2385	224
914	2387	221
915	2389	219
916	2392	216
917	2394	213
918	2396	211
919	2399	208
920	2401	206
921	2404	203
922	2406	200
923	2408	198
924	2411	195
925	2413	192
926	2415	190
927	2418	187
928	2420	185
929	2422	182
930	2425	179
931	2427	177
932	2429	174
933	2432	171
934	2434	169
935	2436	166
936	2439	163
937	2441	161
938	2443	158
939	2446	156
940	2448	153
941	2450	150
942	2453	148
943	2455	145
944	2458	143
945	2460	140
946	2463	137
947	2465	135
948	2467	132
949	2470	130
950	2473	127
951	2475	124
952	2478	122
953	2480	119
954	2483	117
955	2485	114
956	2488	111
957	2490	109
958	2493	106
959	2495	103
960	2497	101
961	2500	98
962	2503	96
963	2506	93
964	2509	91
965	2511	88
966	2514	85
967	2517	83
968	2519	80
969	2522	78
970	2525	75
971	2527	72
972	2529	70
973	2532	67
974	2534	64
975	2537	62
976	2539	59
977	2542	57
978	2544	54
979	2547	51
980	2549	49
981	2552	46
982	2554	44
983	2557	41
984	2559	38
985	2561	36
986	2564	33
987	2566	31
988	2568	28
989	2571	25
990	2573	23
991	2575	20
992	2578	18
993	2580	15
994	2583	12
995	2585	10
996	2588	7
997	2590	5
998	2593	2
999	2595	0
